OR	prev	freq	n_cases	n_controls	alpha	power
2	0.01	0.001	3000	3000	0.05	0.169
2	0.01	0.001	3000	3000	2.5e-06	0
2	0.01	0.01	3000	3000	0.05	0.877
2	0.01	0.01	3000	3000	2.5e-06	0.056
2	0.01	0.05	3000	3000	0.05	1
2	0.01	0.05	3000	3000	2.5e-06	0.978
2	0.002	0.001	3000	3000	0.05	0.17
2	0.002	0.001	3000	3000	2.5e-06	0
2	0.002	0.01	3000	3000	0.05	0.879
2	0.002	0.01	3000	3000	2.5e-06	0.057
2	0.002	0.05	3000	3000	0.05	1
2	0.002	0.05	3000	3000	2.5e-06	0.979
2	0.001	0.001	3000	3000	0.05	0.17
2	0.001	0.001	3000	3000	2.5e-06	0
2	0.001	0.01	3000	3000	0.05	0.879
2	0.001	0.01	3000	3000	2.5e-06	0.057
2	0.001	0.05	3000	3000	0.05	1
2	0.001	0.05	3000	3000	2.5e-06	0.979
3	0.01	0.001	3000	3000	0.05	0.403
3	0.01	0.001	3000	3000	2.5e-06	0.001
3	0.01	0.01	3000	3000	0.05	1
3	0.01	0.01	3000	3000	2.5e-06	0.742
3	0.01	0.05	3000	3000	0.05	1
3	0.01	0.05	3000	3000	2.5e-06	1
3	0.002	0.001	3000	3000	0.05	0.408
3	0.002	0.001	3000	3000	2.5e-06	0.001
3	0.002	0.01	3000	3000	0.05	1
3	0.002	0.01	3000	3000	2.5e-06	0.755
3	0.002	0.05	3000	3000	0.05	1
3	0.002	0.05	3000	3000	2.5e-06	1
3	0.001	0.001	3000	3000	0.05	0.408
3	0.001	0.001	3000	3000	2.5e-06	0.001
3	0.001	0.01	3000	3000	0.05	1
3	0.001	0.01	3000	3000	2.5e-06	0.757
3	0.001	0.05	3000	3000	0.05	1
3	0.001	0.05	3000	3000	2.5e-06	1
4	0.01	0.001	3000	3000	0.05	0.628
4	0.01	0.001	3000	3000	2.5e-06	0.008
4	0.01	0.01	3000	3000	0.05	1
4	0.01	0.01	3000	3000	2.5e-06	0.992
4	0.01	0.05	3000	3000	0.05	1
4	0.01	0.05	3000	3000	2.5e-06	1
4	0.002	0.001	3000	3000	0.05	0.638
4	0.002	0.001	3000	3000	2.5e-06	0.008
4	0.002	0.01	3000	3000	0.05	1
4	0.002	0.01	3000	3000	2.5e-06	0.994
4	0.002	0.05	3000	3000	0.05	1
4	0.002	0.05	3000	3000	2.5e-06	1
4	0.001	0.001	3000	3000	0.05	0.639
4	0.001	0.001	3000	3000	2.5e-06	0.008
4	0.001	0.01	3000	3000	0.05	1
4	0.001	0.01	3000	3000	2.5e-06	0.994
4	0.001	0.05	3000	3000	0.05	1
4	0.001	0.05	3000	3000	2.5e-06	1
5	0.01	0.001	3000	3000	0.05	0.791
5	0.01	0.001	3000	3000	2.5e-06	0.026
5	0.01	0.01	3000	3000	0.05	1
5	0.01	0.01	3000	3000	2.5e-06	1
5	0.01	0.05	3000	3000	0.05	1
5	0.01	0.05	3000	3000	2.5e-06	1
5	0.002	0.001	3000	3000	0.05	0.803
5	0.002	0.001	3000	3000	2.5e-06	0.029
5	0.002	0.01	3000	3000	0.05	1
5	0.002	0.01	3000	3000	2.5e-06	1
5	0.002	0.05	3000	3000	0.05	1
5	0.002	0.05	3000	3000	2.5e-06	1
5	0.001	0.001	3000	3000	0.05	0.804
5	0.001	0.001	3000	3000	2.5e-06	0.029
5	0.001	0.01	3000	3000	0.05	1
5	0.001	0.01	3000	3000	2.5e-06	1
5	0.001	0.05	3000	3000	0.05	1
5	0.001	0.05	3000	3000	2.5e-06	1
